ID,Data Series,All Items,  Food,  Food Excl Food Serving Services,    Bread & Cereals,    Meat,    Fish & Seafood,"    Milk, Cheese & Eggs",    Oils & Fats,    Fruits,    Vegetables,"    Sugar, Preserves & Confectionery",    Non-Alcoholic Beverages,    Other Food,  Food Serving Services,    Restaurant Food,    Fast Food,    Hawker Food,    Catered Food,  Clothing & Footwear,    Clothing,    Other Articles & Related Services,    Footwear,  Housing & Utilities,    Accommodation,    Utilities & Other Fuels,  Household Durables & Services,    Household Durables,    Household Services & Supplies,  Health Care,    Medicines & Health Products,    Outpatient Services,    Hospital Services,    Health Insurance,  Transport,    Private Transport,    Public Transport,    Other Transport Services,  Communication,    Postage & Courier Services,    Telecommunication Equipment,    Telecommunication Services,  Recreation & Culture,    Recreational & Cultural Goods,    Recreational & Cultural Services,"    Newspapers, Books & Stationery",    Holiday Expenses,Education,    Tuition & Other Fees,    Textbooks & Guides,  Miscellaneous Goods & Services,    Personal Care,    Alcoholic Drinks & Tobacco,    Personal Effects,    Social Services,    Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-Occupied Accommodation,All Items Less Accommodation
745,2023 Jan ,111.567,113.491,114.165,111.304,123.126,108.068,113.866,111.548,110.453,120.306,111.269,112.775,111.027,113.049,113.477,112.832,113.121,111.847,95.953,95.842,106.098,95.84,109.444,109.348,111.139,105.545,106.759,104.731,104.348,100.322,103.248,106.343,109.131,129.642,134.513,117.171,110.907,100.088,96.681,98.073,100.182,106.234,102.075,107.411,102.982,107.686,104.908,104.829,102.13,100.288,102.815,102.17,97.448,93.758,95.481,111.936,112.211
744,2022 Dec ,111,112.379,113.787,110.517,123.375,106.945,113.059,111.691,111.091,118.743,112.507,114.243,109.71,111.536,111.103,110.385,112.389,109.034,94.08,94.369,103.546,92.534,108.629,108.205,111.194,104.471,105.279,103.929,103.22,101.254,100.897,105.668,108.329,130.402,135.911,115.447,113.21,99.034,95.579,95.969,99.302,107.062,100.946,106.027,102.265,109.098,103.784,103.895,101.792,99.531,101.528,100.68,97.728,95.045,95.181,111.422,111.79
743,2022 Nov ,110.773,111.853,113.031,109.772,123.009,106.489,112.246,113.379,109.84,117.076,113.762,113.481,109.45,111.251,110.894,110.385,111.862,109.034,93.818,93.864,102.714,93.943,108.368,107.935,111.007,104.769,105.949,103.977,102.875,101.159,100.756,105.161,108.329,131.168,137.755,114.383,114.664,99.094,96.399,99.243,99.14,105.775,101.532,106.023,102.297,106.914,103.357,103.503,101.792,99.713,101.334,100.598,97.916,95.045,95.143,111.206,111.575
742,2022 Oct ,110.223,111.301,112.562,108.941,122.139,107.107,110.624,115.08,110.828,116.334,113.063,112.607,107.42,110.709,110.055,110.385,111.287,109.034,94.508,94.086,102.626,94.376,108.348,108.186,110.771,104.649,105.94,103.782,102.857,100.858,101.588,104.873,107.134,128.421,133.947,114.544,115.407,99.382,99.68,99.956,99.267,105.481,101.955,106.236,102.263,106.184,103.219,103.343,101.792,99.034,100.793,100.71,97.359,95.045,93.936,110.5,110.791
741,2022 Sep ,110.154,110.794,112.105,107.746,120.77,107.281,110.656,114.309,111.132,117.139,113.12,111.977,107.181,110.26,109.46,108.605,110.857,109.113,95.346,95.028,101.805,94.922,107.82,107.24,111.58,104.544,106.015,103.557,102.781,101.183,101.369,105.09,106.982,129.304,135.717,114.083,114.528,99.235,99.68,99.755,99.239,105.527,101.094,106.376,101.642,106.743,103.174,103.24,100.953,99.055,101.231,100.454,96.867,94.602,93.936,110.618,110.976
740,2022 Aug ,109.679,110.091,111.312,107.201,119.324,107.222,110.133,110.273,109.997,116.016,109.188,110.258,106.84,109.669,109.023,107.96,110.024,109.113,97.043,96.918,97.928,96.598,107.426,106.809,111.472,104.407,105.824,103.456,102.532,100.038,101.148,105.403,106.982,128.826,135.265,113.167,113.93,98.58,99.68,90.965,99.133,105.162,101.268,106.509,101.642,106.346,102.977,103.1,100.953,98.499,100.122,100.267,96.284,94.602,93.971,110.144,110.488
739,2022 Jul ,109.162,109.416,110.592,107.347,117.371,108.462,109.832,109.995,108.189,115.4,108.762,110.214,106.667,108.986,108.094,107.96,109.504,109.113,95.346,95.472,100.618,94.291,107.252,106.829,111.671,103.769,104.37,103.366,102.394,100.572,100.955,105.102,106.799,127.787,133.799,112.914,114.284,98.111,98.417,90.908,98.524,104.07,101.222,106.404,101.642,104.05,102.896,102.952,100.953,98.427,100.52,100.333,95.427,94.602,94.087,109.533,109.819
738,2022 Jun ,108.489,108.625,109.917,106.608,116.045,109.614,110.027,109.343,105.201,114.998,108.026,110.098,105.772,108.084,107.39,107.161,108.446,107.652,93.296,94.154,100.052,89.561,105.963,105.647,107.703,103.682,104.317,103.255,101.289,99.992,98.322,105.215,106.648,127.675,133.67,113.801,112.234,98.487,98.049,98.407,98.536,103.799,100.507,104.98,101.454,104.392,102.752,102.746,100.194,98.622,100.207,100.73,97.32,95.1,94.51,108.952,109.287
737,2022 May ,107.418,107.691,108.801,105.391,112.368,108.547,109.761,109.35,104.525,114.341,106.899,108.897,105.554,107.138,106.818,105.594,107.323,107.652,94.548,95.144,99.434,89.329,105.371,105.195,107.662,103.639,104.194,103.266,100.663,97.503,97.994,105.27,106.648,123.984,129.347,112.825,107.851,99.026,98.049,101.915,98.877,102.592,100.351,104.954,101.412,102.177,102.646,102.579,100.194,98.37,99.371,100.274,98,95.1,94.471,107.762,108.039
736,2022 Apr ,107.146,106.988,108.385,105.591,110.928,106.892,109.938,110.106,105.378,113.532,107.77,108.817,104.648,106.45,106.128,105.594,106.668,103.466,93.682,94.607,98.266,87.931,105.8,105.662,107.547,103.462,104.13,103.014,100.901,99.8,97.99,105.103,106.543,123.34,128.473,110.556,111.347,99.108,96.759,104.98,98.583,101.681,101.23,104.776,101.2,100.501,102.245,102.227,100.194,98.434,99.6,100.301,97.265,95.1,97.028,107.361,107.58
