Data Series,Education,Tuition & Other Fees (Extrapolated),Textbooks & Guides (Extrapolated),Tuition & Other Fees,Textbooks & Guides
2023-01 ,104.908,104.829,102.13,104.829,102.13
2022-12 ,103.784,103.895,101.792,103.895,101.792
2022-11 ,103.357,103.503,101.792,103.503,101.792
2022-10 ,103.219,103.343,101.792,103.343,101.792
2022-09 ,103.174,103.24,100.953,103.24,100.953
2022-08 ,102.977,103.1,100.953,103.1,100.953
2022-07 ,102.896,102.952,100.953,102.952,100.953
2022-06 ,102.752,102.746,100.194,102.746,100.194
2022-05 ,102.646,102.579,100.194,102.579,100.194
2022-04 ,102.245,102.227,100.194,102.227,100.194
2022-03 ,102.155,102.048,100.194,102.048,100.194
2022-02 ,101.96,101.851,100.194,101.851,100.194
2022-01 ,101.794,101.706,100.194,101.706,100.194
2021-12 ,101.684,101.795,100.194,101.795,100.194
2021-11 ,101.41,101.533,100.194,101.533,100.194
2021-10 ,101.207,101.346,100.194,101.346,100.194
2021-09 ,101.042,101.112,100.331,101.112,100.331
2021-08 ,100.747,100.862,100.331,100.862,100.331
2021-07 ,100.699,100.746,100.431,100.746,100.431
2021-06 ,100.575,100.55,100.431,100.55,100.431
2021-05 ,100.27,100.193,100.431,100.193,100.431
2021-04 ,100.246,100.167,100.431,100.167,100.431
2021-03 ,100.149,99.992,100.431,99.992,100.431
2021-02 ,99.951,99.811,100.431,99.811,100.431
2021-01 ,99.571,99.45,100.431,99.45,100.431
2020-12 ,99.816,99.906,100.391,99.906,100.391
2020-11 ,99.778,99.877,100.391,99.877,100.391
2020-10 ,99.597,99.736,100.391,99.736,100.391
2020-09 ,99.81,99.884,100.391,99.884,100.391
2020-08 ,99.422,99.532,100.391,99.532,100.391
2020-07 ,99.323,99.376,100.482,99.376,100.482
2020-06 ,99.344,99.311,100.482,99.311,100.482
2020-05 ,99.271,99.178,100.482,99.178,100.482
2020-04 ,99.201,99.078,100.482,99.078,100.482
2020-03 ,99.089,98.908,100.482,98.908,100.482
2020-02 ,98.881,98.73,100.482,98.73,100.482
2020-01 ,98.818,98.689,100.482,98.689,100.482
2019-12 ,100.963,101.053,100.482,101.053,100.482
2019-11 ,100.608,100.725,100.482,100.725,100.482
2019-10 ,100.344,100.495,100.482,100.495,100.482
2019-09 ,100.077,100.183,99.682,100.183,99.682
2019-08 ,100.044,100.164,99.682,100.164,99.682
2019-07 ,99.98,100.053,99.682,100.053,99.682
2019-06 ,99.947,99.925,99.918,99.925,99.918
2019-05 ,99.845,99.767,99.918,99.767,99.918
2019-04 ,99.707,99.593,99.918,99.593,99.918
2019-03 ,99.602,99.421,99.918,99.421,99.918
2019-02 ,99.376,99.234,99.918,99.234,99.918
2019-01 ,99.406,99.303,99.918,99.303,99.918
2018-12 ,98.806,98.865,100.559,98.865,100.559
2018-11 ,98.599,98.7,100.559,98.7,100.559
2018-10 ,98.412,98.522,100.559,98.522,100.559
2018-09 ,98.122,98.173,100.559,98.173,100.559
2018-08 ,97.808,97.86,100.559,97.86,100.559
2018-07 ,97.669,97.693,100.559,97.693,100.559
2018-06 ,97.562,97.483,100.362,97.483,100.362
2018-05 ,97.414,97.309,100.362,97.309,100.362
2018-04 ,97.217,97.09,100.362,97.09,100.362
2018-03 ,97.051,96.869,100.362,96.869,100.362
2018-02 ,96.809,96.671,100.362,96.671,100.362
2018-01 ,96.334,96.227,100.362,96.227,100.362
2017-12 ,95.885,95.872,100.843,95.872,100.843
2017-11 ,95.641,95.674,100.843,95.674,100.843
2017-10 ,95.439,95.472,100.843,95.472,100.843
2017-09 ,95.397,95.385,100.843,95.385,100.843
2017-08 ,95.423,95.383,100.843,95.383,100.843
2017-07 ,95.375,95.335,100.843,95.335,100.843
2017-06 ,94.873,94.78,100.07,94.78,100.07
2017-05 ,94.637,94.547,100.07,94.547,100.07
2017-04 ,94.401,94.284,100.07,94.284,100.07
2017-03 ,94.225,94.05,100.07,94.05,100.07
2017-02 ,93.979,93.85,100.07,93.85,100.07
2017-01 ,93.678,93.563,100.07,93.563,100.07
2016-12 ,93.589,93.519,99.931,93.519,99.931
2016-11 ,93.321,93.294,99.931,93.294,99.931
2016-10 ,93.102,93.076,99.931,93.076,99.931
2016-09 ,92.939,92.866,99.931,92.866,99.931
2016-08 ,92.875,92.797,99.931,92.797,99.931
2016-07 ,92.741,92.677,99.931,92.677,99.931
