Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Female Residents In The Labour Force,1137.6,1122.2,1085.4,1077.4,1049.1,1031,1033.1,1016.1,982.6,955.7,942,919.7,895.7,859,835.1,799.6,799.7,734.9,715.8,700,675,670.2,634.8,639.5,614.8,602.8,594.9,541.8,557.8,538.4,538,516.7,504.3
  15 - 19 Years,11.2,12.2,11.1,14.1,13.8,12.1,15,16,11.6,13,14.5,12.9,17,13.8,14.9,15,14.8,10.4,13.5,10.9,11.1,14.8,13.7,14.9,11.4,14.3,16.4,15.1,20.8,25.7,27.8,30.1,26.4
  20 - 24 Years,53.4,70.5,67.7,73.1,73.9,71.9,77.8,81.6,76.3,72.7,80.7,79.2,74.8,67.5,71.3,67.3,72.5,63.7,67.1,65.4,62.3,66.7,66.7,71.1,68.3,79.3,82.3,81,92,89.8,91.4,92.1,88.3
  25 - 29 Years,103.2,120.9,126.5,116.4,119.1,114.5,121.3,111.4,108.5,107.3,103.1,106.4,109.6,108.9,104.2,105.9,107.5,107.1,103.7,107.1,104.3,108.8,109.9,110,104.4,106.1,102.3,93.4,100.5,95.8,104.1,100,105
  30 - 34 Years,141.4,154.4,130.6,127.4,118.7,122.4,121.9,120.1,123.3,122.6,121.4,121.6,123,119,118.8,115.1,117.8,117.2,111.3,113.5,108.5,104.5,101.7,103.9,103.1,99.7,102.4,91.2,92.4,89.6,90.1,86.1,89.4
  35 - 39 Years,139.8,137.3,135.3,132.6,132.3,133.9,124.2,130,120.6,124.2,125.9,124.3,124.9,127.6,119,107.8,108.6,108.4,101.7,102.4,99.8,101,95.2,91.1,94.6,88.4,90.8,84.4,83,78.6,75.1,70.7,69.1
  40 - 44 Years,149.6,136.9,128,132.6,131,130.6,128.6,129.2,123.8,123,121.9,117.5,112.7,112.4,112.7,108.7,110,103.5,102,97.9,96.2,96.2,91,90.4,89.7,81.9,78.1,70.4,66.9,66.6,63.3,61.6,53.7
  45 - 49 Years,148.4,124.6,126.7,133.9,126.7,126.6,120.7,117,113.6,116.7,118.6,115.5,112.8,109.1,107.2,106.5,106.5,93.9,92.8,85.9,84.4,80.2,73.7,75.2,70.1,66.6,62.3,54.7,47.2,43,37.3,32.9,28.9
  50 - 54 Years,117.8,103.1,110.8,114.5,114.2,109.8,114.8,113,114.6,108,104,102.8,98.6,94.6,90.1,85,80.1,69.4,65.2,65.5,59.3,56,48.4,43.4,40.1,34.2,28.7,25.2,27.7,26.4,26.9,23,20.7
  55 - 59 Years,102.6,97.8,101,102.4,92.5,87.9,95.3,92.8,92,83.7,76.2,74.5,67.5,57.2,54.1,52.3,49.4,40.1,38.3,30.8,29.6,23.3,19.6,21.6,20.2,18.6,18.5,15.9,16,14,12.1,11.2,11.2
  60 - 64 Years,84,84.1,75.3,66.5,69.9,66.5,64,59.5,56.1,50.3,45.7,40.3,35.2,31,26.7,21.5,17.6,13,12,12.9,12.7,11.7,9.3,11.5,7.3,7.7,7.2,5.8,6.2,5.1,5.9,5.5,5.8
