Data Series,Total,Restaurants,Fast Food Outlets,Food Caterers,"Cafes, Food Courts & Other Eating Places"
2023-01 ,113.443,110.091,148.448,86.996,113.299
2022-12 ,114.882,109.714,146.039,89.207,118.051
2022-11 ,104.606,92.525,138.099,85.912,112.834
2022-10 ,106.755,96.744,142.71,79.059,114.581
2022-09 ,102.616,93.983,137.138,71.109,110.583
2022-08 ,104.317,94.598,136.781,73.312,114.16
2022-07 ,105.745,98.253,137.441,72.104,114.091
2022-06 ,99.62,94.693,126.857,61.604,107.992
2022-05 ,102.199,100.959,130.36,54.36,109.082
2022-04 ,91.815,90.174,113.924,47.84,100.119
2022-03 ,90.566,81.47,124.921,45.47,103.606
2022-02 ,82.512,79.428,113.556,40.008,88.777
2022-01 ,93.144,90.483,125.111,41.395,101.605
2021-12 ,100.896,104.245,127.472,41.271,106.781
2021-11 ,83.598,75.328,115.149,35.611,97.634
2021-10 ,77.879,59.852,124.345,32.574,97.161
2021-09 ,79.296,68.884,114.464,30.198,94.919
2021-08 ,74.376,56.49,120.524,32.178,92.585
2021-07 ,74.388,55.492,123.661,30.952,93.058
2021-06 ,62.557,38.853,113.939,29.305,82.82
2021-05 ,72.975,61.053,114.704,26.968,86.971
2021-04 ,82.195,76.801,110.003,26.905,96.585
2021-03 ,86.53,78.484,120.533,30.702,101.981
2021-02 ,83.026,84.446,112.594,31.694,87.383
2021-01 ,85.134,80.519,116.64,28.118,97.813
2020-12 ,94.104,96.091,126.073,28.061,101.741
2020-11 ,82.936,78.892,115.572,25.615,94.626
2020-10 ,81.515,78.28,112.857,23.247,93.027
2020-09 ,75.742,72.544,103.499,22.147,86.987
2020-08 ,79.585,74.593,110.824,32.395,89.581
2020-07 ,79.16,69.901,104.34,56.784,88.289
2020-06 ,58.244,41.277,93.207,52.042,67.63
2020-05 ,49.795,31.973,83.965,55.46,56.588
2020-04 ,47.254,28.173,81.707,38.963,60.024
2020-03 ,79.852,67.1,114.833,40.807,95.019
2020-02 ,85.588,77.064,110.69,71.15,91.264
2020-01 ,112.97,116.605,125.787,113.831,103.68
2019-12 ,112.346,115.998,122.857,106.407,106.113
2019-11 ,106.702,105.148,119.526,103.828,104.796
2019-10 ,106.117,104.639,117.155,97.997,106.499
2019-09 ,105.176,103.084,117.051,100.118,104.976
2019-08 ,109.235,106.474,125.327,110.245,106.293
2019-07 ,104.567,100.556,118.061,103.54,104.728
2019-06 ,103.006,102.885,115.787,100.094,99.428
2019-05 ,101.103,100.79,108.486,93.679,101.212
2019-04 ,98.928,93.764,109.808,91.973,103.363
2019-03 ,104.23,98.418,117.677,100.569,107.413
2019-02 ,103.01,111.12,104.751,106.352,91.647
2019-01 ,103.571,101.658,108.737,105.493,103.32
2018-12 ,110.059,113.816,114.741,111.054,103.556
2018-11 ,101.273,98.481,107.151,102.801,101.933
2018-10 ,101.563,98.666,107.835,99.457,103.399
2018-09 ,100.659,99.739,104.249,100.632,100.447
2018-08 ,105.118,101.583,114.065,106.284,105.656
2018-07 ,100.985,97.05,111.197,98.603,102.701
2018-06 ,97.583,97.063,105.386,94.192,96.458
2018-05 ,99.026,98.208,107.087,94.811,98.432
2018-04 ,95.264,92.289,101.268,86.64,99.433
2018-03 ,102.608,99.634,112.362,100.263,103.34
2018-02 ,104.026,113.963,100.097,114.623,90.185
2018-01 ,96.787,94.183,99.593,94.642,99.555
2017-12 ,105.369,108.503,108.324,104.145,100.969
2017-11 ,98.218,95.028,102.56,103.844,98.569
2017-10 ,100.486,101.719,104.491,94.188,99.626
2017-09 ,99.416,95.623,98.417,110.406,100.673
2017-08 ,100.852,96.363,104.725,105.368,103.281
2017-07 ,100.813,97.527,107.951,98.684,102.802
2017-06 ,94.014,91.875,98.066,89.568,96.532
2017-05 ,97.402,98.539,96.965,88.996,98.972
2017-04 ,95.78,95.48,95.884,85.165,99.587
2017-03 ,98.82,94.875,96.743,94.582,105.658
2017-02 ,98.974,106.034,83.559,104.251,94.499
2017-01 ,109.855,118.433,102.317,120.804,98.832
2016-12 ,103.472,106.387,102.451,105.179,100.559
2016-11 ,96.645,95.707,98.487,101.92,95.28
2016-10 ,102.192,106.759,99.128,99.192,99.866
2016-09 ,101.8,104.757,97.199,95.653,102.461
2016-08 ,100.227,100.017,100.348,105.886,98.634
2016-07 ,103.632,108.475,101.476,99.435,101.12
2016-06 ,95.993,97.789,85.643,91.463,99.147
2016-05 ,101.939,107.261,96.202,93.235,101.558
2016-04 ,97.443,101.753,91.611,88.888,97.993
2016-03 ,99.578,100.636,93.606,94.31,102.197
2016-02 ,101.258,117.076,89.369,101.041,90.487
2016-01 ,101.735,108.919,95.343,102.118,97.023
2015-12 ,103.7,115.172,98.799,100.298,95.656
2015-11 ,97.894,108.469,92.219,94.843,90.839
2015-10 ,101.571,112.293,96.601,93.78,95.607
2015-09 ,98.647,104.469,94.777,97,95
2015-08 ,103.202,110.208,99.439,105.621,97.156
2015-07 ,100.291,108.872,87.468,99.243,96.849
2015-06 ,95.999,101.627,90.98,93.424,93.202
2015-05 ,101.872,112.214,95.426,96.967,95.861
2015-04 ,96.124,102.707,90.239,92.598,93.015
2015-03 ,101.218,112.594,92.475,95.147,95.365
2015-02 ,102.551,125.511,87.115,104.606,85.58
2015-01 ,102.397,112.47,93.28,99.772,96.82
2014-12 ,110.21,126.219,96.231,101.911,102.452
2014-11 ,102.251,114.908,92.652,97.198,95.169
2014-10 ,105.598,119.599,94.878,93.855,99.701
