Year,HDB 1- & 2- Room Flats,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room & Executive Flats,Condominiums & Other Apartments,Landed Properties
2022,1929,3148,3541,4129,7986,6587
2021,1745,3040,3236,3881,7482,6275
2020,1598,2809,3171,3721,7254,6441
2019,1566,2864,3204,3791,7471,6538
2018,1419,2698,3065,3672,7438,6319
2017,1318,2627,2917,3587,7195,6313
2016,1299,2599,2831,3423,7186,6198
2015,1224,2512,2718,3367,7356,5888
2014,1019,2317,2519,3232,6788,6414
2013,976,2216,2415,3086,6640,5614
2012,978,2183,2304,2929,6564,5962
2011,932,2066,2173,2785,6254,5494
2010,886,1937,1979,2587,5691,4926
2009,858,1806,1833,2469,5500,4687
2008,854,1820,1835,2545,5467,4882
2007,775,1612,1632,2252,5214,4604
2006,812,1471,1492,2088,4758,3924
2005,811,1486,1432,2055,4411,3477
2004,811,1404,1358,1929,3961,3757
2003,773,1416,1362,1985,4228,3441
2002,807,1352,1390,2044,4173,3563
2001,803,1455,1414,2074,4524,3641
2000,876,1344,1305,1880,4035,3350
