Date,Resident Grooms,Resident Brides,Citizen Grooms,Citizen Brides
2021,30.4,29,30.3,28.7
2020,30.2,28.6,30.1,28.4
2019,30.2,28.6,30.1,28.4
2018,30,28.3,29.9,28.2
2017,29.9,28.2,29.8,28.1
2016,30.1,28.1,30,28
2015,30.2,28.1,30.1,27.9
2014,30.2,28.1,30.1,27.9
2013,30.2,28.1,30.1,27.8
2012,30.1,27.9,30.1,27.7
2011,30.1,28,30.1,27.8
2010,30,27.7,30,27.6
2009,29.8,27.5,29.9,27.4
2008,29.7,27.3,29.7,27.1
2007,29.7,27.2,29.7,27
2006,29.7,26.9,29.7,26.7
2005,29.7,26.8,29.7,26.5
2004,29.4,26.6,29.4,26.3
2003,29,26.5,29,26.3
2002,28.9,26.2,28.9,26.1
2001,28.8,26.1,28.7,26
2000,28.6,26.2,28.5,26.1
1999,28.4,26,28.4,25.9
1998,28.3,25.8,28.3,25.7
1997,28.3,25.7,28.3,25.6
1996,28.6,25.8,28.6,25.7
1995,28.5,25.6,28.5,25.6
1994,28.5,25.6,28.5,25.6
1993,28.4,25.6,28.4,25.6
1992,28.3,25.5,28.3,25.5
1991,28,25.3,28,25.3
1990,27.9,25.3,27.9,25.2
1989,27.7,25,27.6,24.9
1988,27.6,24.8,27.6,24.8
1987,27.5,24.7,27.5,24.7
1986,27.1,24.4,27.1,24.3
1985,27,24.2,26.9,24.2
1984,26.9,24.1,26.9,24.1
