Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
Total Marriages (Number),28329,22651,25434,27007,28212,27971,28322,28407,26254,27936,27258,24363,26081,24596,23966,23706,22992,22189,21962,23198,22280,22561,25648,23106,25667,24106,24965,24654,25298,25784,24791,23953,23340,24583,23100,19760,23058,24467,21711,22999,24595,22444,20927,20528,19951,20426,21812,25804,24961,17816,15159,14572,12629,11552,10960,10226,8993,7810,7056,6044,5224
  First Marriages (Number),22808,17789,19356,20822,21806,21364,21639,21555,19706,20930,20315,18007,19413,18423,17874,17852,17268,17132,17496,18802,17895,18233,20999,18835,21438,20135,21196,21050,21821,22219,21699,21044,20649,22113,20683,17679,21085,22420,19979,21202,22803,20905,19567,19402,18867,19571,20826,24840,24226,17133,14490,13889,na,na,na,na,na,na,na,na,na
  Remarriages (Number),5521,4862,6078,6185,6406,6607,6683,6852,6548,7006,6943,6356,6668,6172,6092,5854,5724,5057,4466,4396,4385,4328,4649,4271,4229,3971,3769,3604,3477,3565,3092,2909,2691,2470,2417,2081,1973,2047,1732,1797,1792,1539,1360,1126,1084,855,986,964,735,683,669,683,na,na,na,na,na,na,na,na,na
    Remarriages - One Partner (Number),3568,3104,3854,3976,4227,4423,4442,4682,4432,4877,4849,4450,4703,4270,4332,4199,4060,3684,3197,3187,3197,3083,3454,3206,3170,3006,2883,2728,2661,2778,2403,2285,2125,1935,1924,1593,1590,1623,1357,1451,1458,1254,1094,886,866,683,776,789,579,547,522,533,na,na,na,na,na,na,na,na,na
    Remarriages - Both Partners (Number),1953,1758,2224,2209,2179,2184,2241,2170,2116,2129,2094,1906,1965,1902,1760,1655,1664,1373,1269,1209,1188,1245,1195,1065,1059,965,886,876,816,787,689,624,566,535,493,488,383,424,375,346,334,285,266,240,218,172,210,175,156,136,147,150,na,na,na,na,na,na,na,na,na
Resident Marriages (Number),26006,20981,23878,25392,26348,25927,26020,26238,24038,25658,25344,22869,24622,23499,23088,22984,22354,21505,21282,22489,21490,21913,25063,22467,25212,23588,24519,24210,24925,25382,24376,23551,22949,24227,22752,19471,22726,24014,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Proportion Of First Marriages - Grooms (Per Cent),86.5,85.2,82.9,83.6,84.1,83.4,83.2,83,82.2,82.6,81.7,81.7,82.3,82.8,82.5,83.4,83.1,84.7,86.2,87.3,86.6,87,88.2,87.8,89,89.2,90.1,90.1,90.8,90.8,91.9,91.9,92.4,93.3,92.9,92.7,94.1,94.1,94.3,94.4,94.9,95,95.1,95.9,96.1,97.1,96.9,97.5,97.9,97.4,96.9,96.9,na,na,na,na,na,na,na,na,na
Proportion Of First Marriages - Brides (Per Cent),87.1,85.5,84.5,85.3,85.5,85.2,85.2,85.3,84.8,84.7,85.1,84.4,84.6,84.4,84.7,84.9,84.8,86.4,87.7,88.5,88.4,88.3,89,89.1,90.4,90.3,91.3,91.7,92.2,92.3,92.8,93.4,93.7,94.5,94.5,94.3,95.6,95.8,96,96.3,96.5,96.8,97.1,97.5,97.4,97.9,97.6,98.1,98.5,98,97.8,97.4,na,na,na,na,na,na,na,na,na
Proportion Of Grooms Aged Below 21 Years (Per Cent),0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,1,0.9,1,1.1,1.1,1.2,1.2,1.4,1.4,1,1,0.9,1,1,1.1,1.2,1.1,1.1,1,1.1,0.9,1.1,1.5,1.5,1.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Under The Women's Charter (Per Cent),0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.8,0.8,0.6,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.8,1.1,1,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Under The Administration Of Muslim Law Act (Per Cent),0.8,0.9,1,0.7,1,1,1.5,1.3,1.2,1.7,1.7,1.6,2.3,2.7,2.4,3,3.5,3.9,4.2,4.2,4,4.3,3.2,2.9,2.9,2.9,2.8,2.9,3.1,2.4,2.4,2.3,2.3,1.8,2.5,3,3.7,4.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Proportion Of Brides Aged Below 21 Years (Per Cent),0.8,1,0.9,1,1.3,1.4,1.7,1.7,2.3,2.4,2.5,3.1,3.1,3.7,4,4.3,5.1,5.1,4.5,5.1,5.6,5.8,5.4,6,5.1,5.6,5.9,6.2,6.9,7.7,8.2,8.2,8.5,8.4,9.2,11.3,12.2,12.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Under The Women's Charter (Per Cent),0.3,0.6,0.4,0.5,0.7,0.9,1.1,1.2,1.6,1.7,1.9,2.3,2.5,2.8,2.9,3,3.5,3.1,2.7,3.1,3.6,3.8,3.7,4.2,3.4,3.8,3.9,4.4,4.9,5.7,5.7,5.9,6.3,6.5,7.1,8.4,9.2,9.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Under The Administration Of Muslim Law Act (Per Cent),2.3,2.5,2.6,2.7,3.3,3.1,4.2,4,5.2,5.5,5.5,6.6,6.9,8.1,9.6,10.7,12.9,13.8,12.9,14.6,14.8,15.5,14,14.2,13.4,14.1,15,14.7,15.6,16.7,18.3,17.2,17.1,16.5,18.3,21.6,24.3,26.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
