Data Series,Total Live-Births By Ethnic Group (Number),Total Live-Births By Ethnic Group -> Malays (Number),Total Live-Births By Ethnic Group -> Chinese (Number),Total Live-Births By Ethnic Group -> Indians (Number),Total Live-Births By Ethnic Group -> Other Ethnic Groups (Number),Total Male Live-Births By Ethnic Group (Number),Total Male Live-Births By Ethnic Group -> Malays (Number),Total Male Live-Births By Ethnic Group -> Chinese (Number),Total Male Live-Births By Ethnic Group -> Indians (Number),Total Male Live-Births By Ethnic Group -> Other Ethnic Groups (Number),Total Female Live-Births By Ethnic Group (Number),Total Female Live-Births By Ethnic Group -> Malays (Number),Total Female Live-Births By Ethnic Group -> Chinese (Number),Total Female Live-Births By Ethnic Group -> Indians (Number),Total Female Live-Births By Ethnic Group -> Other Ethnic Groups (Number)
  2022 Dec,2887,640,1648,319,280,1465,332,823,161,149,1422,308,825,158,131
  2022 Nov,2943,655,1659,355,274,1491,332,862,173,124,1452,323,797,182,150
  2022 Oct,3109,665,1765,346,333,1603,332,909,185,177,1506,333,856,161,156
  2022 Sep,3272,764,1863,357,288,1733,401,994,194,144,1539,363,869,163,144
  2022 Aug,3005,636,1710,318,341,1547,317,911,168,151,1458,319,799,150,190
  2022 Jul,2962,633,1691,353,285,1536,346,860,180,150,1426,287,831,173,135
  2022 Jun,2844,655,1562,332,295,1465,325,814,177,149,1379,330,748,155,146
  2022 May,2989,681,1714,341,253,1569,361,883,199,126,1420,320,831,142,127
  2022 Apr,2718,656,1490,309,263,1412,325,785,155,147,1306,331,705,154,116
  2022 Mar,3128,717,1734,374,303,1596,369,896,196,135,1532,348,838,178,168
  2022 Feb,2802,640,1567,324,271,1437,328,811,165,133,1365,312,756,159,138
  2022 Jan,3065,654,1761,363,287,1563,330,904,183,146,1502,324,857,180,141
  2021 Dec,3255,684,1845,400,326,1650,356,928,202,164,1605,328,917,198,162
  2021 Nov,3455,686,1998,438,333,1773,369,1011,221,172,1682,317,987,217,161
  2021 Oct,3428,697,1966,435,330,1772,351,1042,206,173,1656,346,924,229,157
  2021 Sep,3381,677,1984,391,329,1752,362,1000,214,176,1629,315,984,177,153
  2021 Aug,3344,672,1873,447,352,1706,317,963,239,187,1638,355,910,208,165
  2021 Jul,3403,693,1958,416,336,1775,357,1011,219,188,1628,336,947,197,148
  2021 Jun,3138,629,1789,386,334,1638,319,930,211,178,1500,310,859,175,156
  2021 May,3214,635,1808,399,372,1639,325,934,208,172,1575,310,874,191,200
  2021 Apr,3105,626,1798,336,345,1590,319,923,178,170,1515,307,875,158,175
  2021 Mar,3329,715,1856,375,383,1724,387,948,193,196,1605,328,908,182,187
  2021 Feb,2632,531,1463,319,319,1347,260,761,163,163,1285,271,702,156,156
  2021 Jan,2988,607,1664,381,336,1568,303,877,202,186,1420,304,787,179,150
  2020 Dec,3138,641,1806,342,349,1630,331,938,173,188,1508,310,868,169,161
  2020 Nov,3176,623,1791,388,374,1648,331,940,196,181,1528,292,851,192,193
  2020 Oct,3494,684,1966,441,403,1764,353,973,229,209,1730,331,993,212,194
  2020 Sep,3355,654,1899,409,393,1727,328,997,207,195,1628,326,902,202,198
  2020 Aug,3271,637,1900,335,399,1725,319,1045,167,194,1546,318,855,168,205
  2020 Jul,3210,680,1815,353,362,1632,350,930,182,170,1578,330,885,171,192
  2020 Jun,3163,649,1781,371,362,1643,346,926,200,171,1520,303,855,171,191
  2020 May,3252,678,1845,351,378,1730,359,963,198,210,1522,319,882,153,168
  2020 Apr,3128,656,1794,332,346,1633,339,931,176,187,1495,317,863,156,159
  2020 Mar,3075,628,1790,347,310,1597,324,897,191,185,1478,304,893,156,125
  2020 Feb,2960,604,1716,328,312,1536,303,918,155,160,1423,301,798,173,151
  2020 Jan,3368,680,1909,388,391,1758,378,982,204,194,1610,302,927,184,197
  2019 Dec,3308,626,1972,382,328,1683,313,984,205,181,1625,313,988,177,147
  2019 Nov,3485,658,2092,363,372,1793,340,1066,197,190,1692,318,1026,166,182
  2019 Oct,3534,666,2124,361,383,1802,347,1078,181,196,1732,319,1046,180,187
  2019 Sep,3452,650,2109,344,349,1743,338,1047,179,179,1709,312,1062,165,170
  2019 Aug,3239,677,1879,340,343,1632,326,959,164,183,1607,351,920,176,160
  2019 Jul,3372,652,2010,353,357,1701,334,1012,178,177,1671,318,998,175,180
  2019 Jun,3119,596,1877,335,311,1565,288,939,170,168,1554,308,938,165,143
  2019 May,3242,629,1908,357,348,1623,308,968,173,174,1619,321,940,184,174
